"PER","N_ENT","FOL","ENT","CON","V_SEL","N_HOG","H_MUD","N_REN","P1","P2","P3_1","P3_2","P3_3","P3_4","P3_5","P3_6","P3_7","P3_8","P3_9","P3_10","P3_11","P4_1","P4_2","P4_3","P4_4","P4_5","P4_6","P4_7","P4_8","P4_9","P4_10","P5_1","P5_2","P5_3","P5_4","P5_5","P5_6","P5_7","P5_8","P5_9","P5_10","P5_11","P5_12","TIPO","FAC_MOD"
"1021","6","12B191","15","40185","1","1","1","01",10,9,10,8,10,10,10,10,10,8,8,8,5,8,9,8,10,8,2,1,1,0,0,10,8,9,10,8,10,5,10,10,8,8,6,1,33332
"1021","6","12B191","15","40185","3","1","0","02",10,10,10,10,10,10,10,10,10,10,10,10,5,8,9,8,10,8,1,1,1,0,0,10,9,10,10,10,8,8,10,10,9,7,5,1,13333
"1021","6","12B191","15","40185","4","1","2","01",5,10,9,9,10,10,10,10,10,10,10,10,10,7,5,4,7,7,2,5,5,3,3,8,8,8,8,7,8,5,10,10,8,7,7,1,19999
"1021","6","11B191","15","40188","1","1","0","01",10,10,10,10,10,10,10,10,10,10,10,10,0,9,6,9,10,9,0,3,0,0,0,10,10,10,10,10,10,0,10,10,7,5,5,1,16523
"1021","6","11B191","15","40188","2","1","0","02",8,8,8,8,8,8,8,7,9,9,6,6,0,8,5,5,8,8,0,4,5,0,0,7,7,7,7,7,5,0,0,10,10,7,0,1,41309
"1021","6","11B191","15","40188","3","1","0","05",8,6,8,8,8,6,10,10,10,10,8,10,6,3,3,7,6,5,6,7,2,3,5,7,9,8,6,10,7,8,7,10,10,8,9,1,24785
"1021","6","11B191","15","40188","4","1","0","01",10,10,9,9,8,8,9,9,8,9,10,7,0,10,6,6,7,7,0,4,4,0,3,7,7,7,7,7,9,5,9,9,9,7,7,1,8262
"1021","2","11A205","15","40210","1","1","0","03",9,9,9,9,9,9,9,9,9,9,9,9,6,10,10,10,10,10,0,0,0,0,0,10,10,10,10,10,10,6,10,10,10,6,6,1,14387
"1021","2","11A205","15","40210","4","1","0","03",9,8,9,9,10,8,8,10,10,9,9,8,5,9,8,6,10,8,0,2,3,0,0,8,9,7,7,7,6,6,8,5,5,6,6,1,21580
"1021","3","13A204","15","40235","1","1","0","03",10,7,6,8,9,10,9,10,8,1,8,10,10,10,3,0,1,9,0,6,7,8,0,10,8,9,10,10,10,0,5,9,8,1,10,1,31515
"1021","4","11A203","15","40236","3","1","0","01",9,9,9,9,10,9,10,10,10,9,8,10,5,8,8,7,9,8,0,1,2,1,2,9,8,7,8,8,7,6,9,8,8,7,7,1,11398
"1021","4","11A203","15","40236","2","1","0","01",9,8,10,10,10,10,10,10,10,8,8,8,2,9,8,7,8,7,1,2,2,1,2,10,8,8,10,8,9,8,10,10,8,8,7,1,22796
"1021","4","11A203","15","40236","1","1","0","01",10,9,10,9,9,9,10,10,9,10,10,9,5,9,9,8,8,9,0,0,2,1,0,9,8,9,10,5,8,6,10,10,7,7,8,1,11398
"1021","4","11A203","15","40236","4","1","0","01",10,9,10,10,10,9,8,10,9,9,8,8,5,10,8,10,10,10,0,0,0,0,0,10,10,7,8,8,8,5,8,10,10,9,8,1,11398
"1021","1","11A206","15","40237","3","1","0","01",9,8,10,10,10,10,10,10,10,10,9,10,6,7,7,9,9,8,3,3,1,1,1,7,9,8,8,10,5,2,8,5,5,5,8,1,15786
"1021","1","11A206","15","40237","2","1","0","02",10,8,10,10,10,10,9,10,10,10,10,10,8,9,7,6,10,8,0,2,3,0,0,9,8,9,8,8,10,8,10,10,8,7,7,1,15786
"1021","1","11A206","15","40237","4","1","0","02",7,8,10,9,10,8,10,10,10,9,8,8,5,7,7,6,5,6,3,3,4,4,3,6,8,8,8,7,6,7,7,9,9,8,6,1,15786
"1021","1","11A206","15","40237","1","1","0","01",10,9,10,10,10,10,10,5,10,10,10,10,0,10,10,10,10,10,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,5,10,1,7893
"1021","2","13A205","15","40238","2","1","0","02",9,9,10,10,10,10,10,10,10,10,10,10,5,0,5,3,10,2,8,5,0,0,7,10,10,10,10,10,10,5,9,10,10,5,5,1,22120
"1021","2","13A205","15","40238","3","1","0","01",10,10,10,10,10,10,10,10,10,10,10,8,0,10,10,9,10,10,0,0,1,0,0,8,9,8,10,8,7,0,8,10,9,9,10,1,22120
"1021","2","13A205","15","40238","1","1","0","02",8,5,10,10,10,10,10,10,10,10,10,10,8,5,8,10,10,9,5,0,0,0,0,9,9,10,10,9,10,5,9,10,10,5,8,1,44241
"1021","2","13A205","15","40238","4","1","0","04",10,10,10,8,10,10,10,10,5,10,10,8,7,7,6,6,6,7,3,4,3,3,2,7,7,9,9,8,7,2,8,10,8,6,7,1,44241
