"R_DEF_MOD","PER","N_ENT","FOL","ENT","CON","V_SEL","N_HOG","H_MUD","N_REN","NOM","C_RES","PAR","SEX","EDA","F_NAC","ALF","I_NIV","I_ANIO","A_ESC","E_CON","C_ACT","OCU","A_ECO","POS","I_PER","ING","TIPO","ELEGIDO","FACTOR","FAC_MOD"
"00","1021","1","11A206","01","40324","3","1","0","01","-","1","1","1","41","07/01/1980","1","04","1","2","5","01","5","4","3","2","005000",1,"1",7241,14593
"00","1021","1","11A206","01","40324","4","1","0","01","-","1","1","1","27","16/03/1994","1","07","5","2","6","01","1","2","3","2","005000",1,"1",7241,14593
"00","1021","1","11A206","01","40324","4","1","0","02","-","1","6","2","24","18/02/1997","1","07","5","2","6","01","1","2","3","2","005000",1,,7241,0
"00","1021","1","11A206","01","40324","2","1","0","03","-","1","5","2","10","27/09/2011","1","02","4","1",,,,,,,,1,,7241,0
"00","1021","1","11A206","01","40324","2","1","0","02","-","1","2","2","64","26/11/1956","1","02","6","2","5","07",,,,,,1,"1",7241,14593
"00","1021","1","11A206","01","40324","2","1","0","01","-","1","1","1","63","23/09/1958","1","03","3","2","5","01","5","5","3","1","000900",1,,7241,0
"00","1021","1","11A206","01","40324","1","1","0","04","-","1","5","2","11","12/12/2009","1","02","4","1",,,,,,,,1,,7241,0
"00","1021","1","11A206","01","40324","1","1","0","01","-","1","1","2","60","16/07/1961","1","02","6","2","6","01","4","4","3","1","001500",1,"1",7241,14593
"00","1021","1","11A206","01","40324","1","1","0","05","-","1","5","1","01","18/07/2020",,,,,,,,,,,,1,,7241,0
"00","1021","1","11A206","01","40324","1","1","0","03","-","1","5","2","17","29/09/2004","1","03","3","1","6","06",,,,,,1,,7241,0
"00","1021","1","11A206","01","40324","1","1","0","02","-","1","3","2","34","24/08/1987","1","03","3","2","6","01","4","4","2","1","001000",1,,7241,0
"00","1021","7","13A198","01","40359","1","1","0","06","-","1","5","2","00","13/10/2020",,,,,,,,,,,,1,,7301,0
"00","1021","7","13A198","01","40359","4","1","0","04","-","1","5","1","09","25/03/2012","1","02","3","1",,,,,,,,1,,7301,0
"00","1021","7","13A198","01","40359","1","1","0","03","-","1","3","2","29","04/09/1992","1","04","2","2","5","07",,,,,,1,"1",7301,29569
"00","1021","7","13A198","01","40359","1","1","0","01","-","1","1","1","52","06/12/1968","1","04","3","2","5","01","5","5","3","2","005500",1,,7301,0
"00","1021","7","13A198","01","40359","3","1","0","01","-","1","1","2","38","28/05/1983","1","04","3","2","6","01","5","5","3","2","002000",1,"1",7301,7392
"00","1021","7","13A198","01","40359","1","1","0","05","-","1","3","1","24","15/07/1997","1","07","1","2","6","01","5","5","3","2","004800",1,,7301,0
"00","1021","7","13A198","01","40359","4","1","0","05","-","1","5","2","07","19/04/2014","2","02","1","1",,,,,,,,1,,7301,0
"00","1021","7","13A198","01","40359","4","1","0","03","-","1","3","2","29","12/10/1991","1","07","1","2","5","07",,,,,,1,,7301,0
"00","1021","7","13A198","01","40359","4","1","0","02","-","1","3","2","31","12/04/1990","1","07","5","2","6","01","3","5","3","2","004500",1,,7301,0
"00","1021","7","13A198","01","40359","4","1","0","01","-","1","1","2","62","27/03/1959","1","06","3","2","6","07",,,,,,1,"1",7301,22176
"00","1021","7","13A198","01","40359","2","1","0","03","-","1","3","2","39","02/02/1982","1","06","3","2","2","07",,,,,,1,"1",7301,22176
"00","1021","7","13A198","01","40359","2","1","0","02","-","1","2","2","61","28/01/1960","1","02","6","2","5","07",,,,,,1,,7301,0
"00","1021","7","13A198","01","40359","2","1","0","01","-","1","1","1","62","11/09/1959","1","03","3","2","5","08",,,,,,1,,7301,0
"00","1021","7","13A198","01","40359","2","1","0","04","-","1","5","1","03","04/11/2017",,,,,,,,,,,,1,,7301,0
"00","1021","5","13A198","01","40359","1","1","0","02","-","2",,,,,,,,,,,,,,,,1,,0,0
"00","1021","7","13A198","01","40359","1","1","0","04","-","1","3","1","28","10/10/1992","1","07","5","2","5","01","1","2","3","2","006500",1,,7301,0
"00","1021","4","11A203","01","40387","3","1","0","01","-","1","1","1","62","23/08/1959","1","02","2","2","1","04",,,,,,1,"1",7985,24138
"00","1021","4","11A203","01","40387","2","1","0","05","-","1","3","2","15","25/01/2006","1","03","3","1","6","06",,,,,,1,,7985,0
"00","1021","4","11A203","01","40387","3","1","0","04","-","1","3","2","12","05/09/2009","1","02","5","1","6","06",,,,,,1,,7985,0
"00","1021","4","11A203","01","40387","3","1","0","06","-","1","4","2","85","03/06/1936","2","00",,"2","4","09",,,,,,1,,7985,0
"00","1021","4","11A203","01","40387","4","1","0","01","-","1","1","2","76","18/04/1945","1","02","6","2","4","07",,,,,,1,,7985,0
"00","1021","4","11A203","01","40387","4","1","0","02","-","1","3","1","46","11/12/1974","1","02","6","2","6","01","7","3","3","1","001000",1,"1",7985,16092
"00","1021","4","11A203","01","40387","3","1","0","02","-","1","2","2","41","28/05/1980","1","02","2","2","1","01","5","5","2","1","000700",1,,7985,0
"00","1021","4","11A203","01","40387","3","1","0","05","-","1","3","1","04","02/11/2016",,,,,,,,,,,,1,,7985,0
"00","1021","4","11A203","01","40387","2","1","0","06","-","1","3","1","13","21/12/2007","1","03","2","1","6","06",,,,,,1,,7985,0
